,ID,DataPost,DataColeta,DiaDaSemana,Perfil,Texto,Duracao,Duração Classificada,Event,Tie,Chin,Smile,Hat,Font,Forehead,Gesture,Joy,Person,Curtidas
35,7118506591141317894,2022-07-09 00:00:00,2022-10-02,sábado,lulaoficial,POV: você participou de um ato com o #Presidente ❤️😎🇧🇷⭐️ marque nos comentários quem você vai levar no próximo #vamosjuntospelobrasil #lula #pov,,Muito curto,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,4583
36,7118536238520438021,2022-07-09 00:00:00,2022-10-02,sábado,bolsonaromessiasjair,#minasgerais #minas #gerais #mg #jair #bolsonaro #jairbolsonaro #brasil #🇧🇷 #moto #harley #harleydavidson #honda #dafra #suzuki #yamaha #kawasaki #50 #150 #250 #300 #600 #1000 #cc #brazil #president #500 #ihu #motorcycle #drive #road #thanks #obrigado,65.9,Normal,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,5284
37,7118548034631257350,2022-07-09 00:00:00,2022-10-02,sábado,bolsonaromessiasjair,#jairbolsonaro #crianca #futuro #brasil #brazil #children #deus #patria #familia #jesus #jair #bolsonaro #presidente #satisfacao #🇧🇷 #❤️,24.98,Muito curto,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,6533
38,7118714403372928262,2022-07-10 00:00:00,2022-10-02,domingo,bolsonaromessiasjair,#pelas #ruas #de #sao #paulo #presidente #jair #jairbolsonaro #bolsonaro #do #brasil #🇧🇷 #combustivel #diesel #gasolina #gracas #a #deus #icms #povo #paga #menos #sobra #mais #para #outras #coisas #trabalho #seguimos #adiante,21.43,Muito curto,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,146400
39,7118767343315979526,2022-07-10 00:00:00,2022-10-02,domingo,lulaoficial,A história do Felipe Garcia é como a de milhares de brasileiros que acessaram o ensino com políticas públicas de governos que investiam na educação. É esse Brasil que vamos recuperar! ❤️🇧🇷⭐️ #vamosjuntospelobrasil #lula #educacao #prouni #DoritoslaÇıtırdatanLezzetler,57.72,Curto,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,33900
40,7118779005758639366,2022-07-10 00:00:00,2022-10-02,domingo,bolsonaromessiasjair,#jairbolsonaro #jair #bolsonaro #domingo #deus #patria #familia #brasil #acima #de #tudo #todos #jesus #bom #lado #🇧🇷 #quartel #frase #do #nada #diferencas #presidente #liberdade,30.95,Curto,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,25800
41,7119045148578778374,2022-07-11 00:00:00,2022-10-02,segunda-feira,bolsonaromessiasjair,#jairbolsonaeo #bolsonaro #midia #imprensa #diferenca #jair #brasil #opiniao #jovempan #jovem #pan #presidente #datafolha #fakenews #2018 #uou #🇧🇷 #deus #patria #familia #controle #mais #uma,43.81,Curto,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,58600
42,7119115867824147717,2022-07-11 00:00:00,2022-10-02,segunda-feira,bolsonaromessiasjair,#jairbolsonaro #bolsonaro #mulher #violencia #defesa #brasil #quimica #brasil #🇧🇷 #compartilhe #leis #severas #compartilhe #presidente,25.73,Muito curto,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,12100
43,7119143272429161733,2022-07-11 00:00:00,2022-10-02,segunda-feira,bolsonaromessiasjair,"Com a Presidente da Hungria, Katalin Novák, nesta segunda-feira (11/07/2022). #presidente #jair #bolsonaro #assuntos #internacionais #brasil #hungria #🇧🇷 #🇭🇺 #katalin #novak #welcome #bemvinda #brazil #world #love",9.94,Muito curto,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,28800
44,7119192184913431813,2022-07-11 00:00:00,2022-10-02,segunda-feira,lulaoficial,"Foi emocionante o reencontro entre Lula e a jornalista e escritora Samara Del Monte, acompanhada da mãe Claudia Del Monte, em Diadema, neste sábado (9). Samara tem paralisia cerebral e, com as políticas públicas de #inclusão escolar implementadas pelos governos do PT, teve a oportunidade de estudar, se formar e escrever um livro.🎥: @ricardostuckert#vamosjuntospelobrasil #lula #educaçao #jornalismo #edutok #educationtiktok #livros #booktok #escritora",60.23,Normal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,8903
45,7119275865011145990,2022-07-11 00:00:00,2022-10-02,segunda-feira,lulaoficial,"Deus me deu o direito de me apaixonar outra vez. E hoje estou aqui, apaixonado pela Janja e pelo Brasil. ❤️🇧🇷📸: @ricardostuckert #vamosjuntospelobrasil #lula #amor",12.65,Muito curto,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,3919
46,7119293751159262470,2022-07-11 00:00:00,2022-10-02,segunda-feira,lulaoficial,Vamos juntos envolver o Brasil! 😎 #vamosjuntospelobrasil #lula #envolverchallenge #envolveranitta,,Muito curto,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,20600
47,7119509830083038470,2022-07-12 00:00:00,2022-10-02,terça-feira,lulaoficial,Vanilza dos Santos é apenas uma das milhares de pessoas beneficiadas pelo Minha Casa Minha vida. “Tenho fé e esperança que o Brasil vai mudar. E a mudança ja está pronta. Só depende da gente.” ❤️🦑🇧🇷 #vamosjuntospelobrasil #Bastidores #lula #minhacasaminhavida #esperança,60.0,Curto,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,38700
48,7119636536571809030,2022-07-12 00:00:00,2022-10-02,terça-feira,lulaoficial,Faz O L e vem 😎 marque aqui 3 pessoas pra seguir o perfil do presidente! #FAZoL #Lula #FAZoLchallenge #vamosjuntospeloBrasil,26.47,Muito curto,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,7606
49,7119639753816820998,2022-07-12 00:00:00,2022-10-02,terça-feira,bolsonaromessiasjair,#molecada #futuro #brasil #pch #helicoptero #helicopter #brazil #children #jairbolsonaro #🇧🇷 #jairbolsonaro #presidente #jair #bolsonaro #deus #patria #familia #family #10 #ihu #ffaa #👍🏻,29.19,Muito curto,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2963
50,7119808655352024326,2022-07-13 00:00:00,2022-10-02,quarta-feira,bolsonaromessiasjair,#jairbolsonaro ##jair #bolsonaro #brasil #icms #imposto #combustivel #diesel #gasolina #fuel #tax #presidente #senado #pt #voto #contra #o #povo #energia #eletrica #transporte #reducao #valor #trabalhador,29.16,Muito curto,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,4977
51,7119890914910194950,2022-07-13 00:00:00,2022-10-02,quarta-feira,bolsonaromessiasjair,#jairbolsonaro #bolsonaro #brasil #defesa #familia #violencia #fato #x #narrativa #jair #🇧🇷 #familia #reducao #violencia #criminalidade #verdade #liberdade #presidente #compartilhe,59.6,Curto,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,5682
52,7119957986759658758,2022-07-13 00:00:00,2022-10-02,quarta-feira,bolsonaromessiasjair,#jairbolsonaro #bolsonaro #maranhao #brasil #🇧🇷 #imperatriz #deus #patria #familia #moto #povo #jair #presidente #ma,35.71,Curto,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,10200
53,7120002612820266246,2022-07-13 00:00:00,2022-10-02,quarta-feira,lulaoficial,Estamos 100% envolvidos ⭐️🇧🇷🦑❤️ #lula #anittachallenge #envolverchallenge #envolveranitta #anitta #brasil,19.62,Muito curto,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,60500
54,7120031316359384326,2022-07-13 00:00:00,2022-10-02,quarta-feira,bolsonaromessiasjair,-Imperatriz / MA (13/07/2022)#jair #bolsonaro #jairbolsonaro #imperatriz #maranhao #ma #lula #pt #dilma #brasil #🇧🇷 #compartilhe,22.15,Muito curto,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,9316
